Object Designation,Year Range,Potential Impacts,Impact Probability (cumulative),Vinfinity (km/s),H (mag),Estimated Diameter (km),Palermo Scale (cum.),Palermo Scale (max.),Torino Scale (max.),Year_Start,Year_End,Impact Energy (MT),Crater Diameter (m)
(2019 WF24),2061-2117,19,1.4e-06,17.26,27.8,0.009,-7.03,-7.28,0.0,2061,2117,,
(2022 RJ2),2075-2092,4,6.7e-07,16.02,26.9,0.014,-7.03,-7.39,0.0,2075,2092,,
(2025 DJ5),2117-2117,1,2.9e-07,8.22,25.2,0.03,-7.03,-7.03,0.0,2117,2117,,
(2021 HY9),2101-2101,1,4.8e-06,10.27,28.1,0.008,-7.04,-7.04,0.0,2101,2101,,
(2016 WT),2058-2121,70,3.3e-05,10.71,29.8,0.004,-7.04,-7.87,0.0,2058,2121,,
(2016 AU193),2109-2109,1,1.1e-07,21.78,25.3,0.03,-7.04,-7.04,0.0,2109,2109,,
(2024 WJ),2084-2124,58,5.4e-05,3.73,29.8,0.004,-7.04,-8.05,0.0,2084,2124,,
(2025 FH25),2056-2123,28,7.1e-06,9.49,28.7,0.006,-7.04,-7.53,0.0,2056,2123,,
(2012 XH),2112-2121,2,8.1e-07,6.22,26.1,0.021,-7.05,-7.21,0.0,2112,2121,,
(2017 VV12),2062-2121,18,3.8e-06,6.29,28.0,0.009,-7.05,-7.24,0.0,2062,2121,,
(2023 RY15),2092-2112,21,4.2e-06,10.03,28.0,0.009,-7.05,-7.57,0.0,2092,2112,,
(2019 WU),2080-2112,10,1.6e-06,10.06,27.0,0.013,-7.06,-7.58,0.0,2080,2112,,
(2016 TT),2083-2096,5,3.7e-07,11.55,26.0,0.021,-7.06,-7.41,0.0,2083,2096,,
(2012 UE),2040-2058,8,2e-06,13.24,28.4,0.007,-7.06,-7.18,0.0,2040,2058,,
(2020 VN6),2061-2118,7,4e-06,9.21,27.8,0.009,-7.06,-7.26,0.0,2061,2118,,
(2012 FB71),2086-2095,2,3.4e-08,17.18,24.2,0.049,-7.06,-7.21,0.0,2086,2095,,
(2021 RN),2097-2115,10,6.4e-07,17.57,26.7,0.015,-7.06,-7.33,0.0,2097,2115,,
(2024 UG21),2086-2114,16,1.2e-06,13.41,27.1,0.013,-7.06,-7.81,0.0,2086,2114,,
(2024 VS),2085-2119,4,1.7e-06,11.62,27.5,0.011,-7.06,-7.06,0.0,2085,2119,,
(2020 SX6),2095-2118,17,2.5e-06,4.03,27.1,0.013,-7.07,-7.49,0.0,2095,2118,,
(2012 TP20),2064-2120,17,4.8e-06,7.28,27.9,0.009,-7.07,-7.52,0.0,2064,2120,,
(2018 WA1),2085-2121,77,6.2e-05,3.03,30.0,0.003,-7.08,-7.88,0.0,2085,2121,,
(2006 XV4),2101-2120,3,1.4e-07,9.19,24.9,0.036,-7.08,-7.32,0.0,2101,2120,,
(2018 WH1),2084-2121,27,1.2e-05,4.01,28.5,0.007,-7.08,-7.7,0.0,2084,2121,,
(2022 WM6),2071-2082,2,9.1e-07,21.89,27.8,0.009,-7.08,-7.16,0.0,2071,2082,,
(2010 DG77),2059-2059,1,7.8e-10,14.47,21.3,0.19,-7.08,-7.08,0.0,2059,2059,,
(2025 SY1),2042-2124,51,0.00015,6.89,31.7,0.002,-7.08,-7.23,0.0,2042,2124,,
(2020 CE1),2121-2121,1,2.7e-07,14.56,25.7,0.025,-7.09,-7.09,0.0,2121,2121,,
(2022 GE),2092-2120,9,1.3e-06,12.2,27.1,0.013,-7.09,-7.25,0.0,2092,2120,,
(2018 RF5),2103-2103,1,2.3e-06,8.33,27.4,0.011,-7.09,-7.09,0.0,2103,2103,,
(2020 YG2),2097-2109,2,1.1e-07,9.32,24.7,0.039,-7.09,-7.1,0.0,2097,2109,,
(2014 KC45),2066-2122,42,1.5e-05,8.91,29.4,0.004,-7.1,-7.58,0.0,2066,2122,,
(2013 VD17),2075-2117,4,1.6e-06,11.67,27.1,0.013,-7.1,-7.16,0.0,2075,2117,,
(2021 RQ2),2074-2119,20,2.9e-05,3.22,29.5,0.004,-7.1,-7.56,0.0,2074,2119,,
(2021 TV1),2072-2104,4,3.1e-06,9.95,28.2,0.008,-7.1,-7.12,0.0,2072,2104,,
(2022 JV),2092-2122,75,2.5e-05,9.46,29.6,0.004,-7.1,-7.8,0.0,2092,2122,,
(2025 PL2),2115-2117,2,2.1e-07,25.52,26.1,0.02,-7.1,-7.21,0.0,2115,2117,,
(2011 FA23),2031-2120,18,4.5e-06,14.45,28.9,0.006,-7.11,-7.29,0.0,2031,2120,,
(2016 TQ54),2082-2120,10,1.8e-06,9.0,27.3,0.012,-7.12,-7.5,0.0,2082,2120,,
(2019 VE4),2072-2120,10,3.6e-06,8.78,27.9,0.009,-7.12,-7.44,0.0,2072,2120,,
(2016 CE31),2118-2120,9,3.1e-06,7.47,27.5,0.011,-7.12,-7.51,0.0,2118,2120,,
(2019 SG1),2064-2064,1,8.2e-07,16.72,27.7,0.01,-7.12,-7.12,0.0,2064,2064,,
(2014 FE),2054-2089,7,6.6e-07,19.95,27.6,0.01,-7.12,-7.52,0.0,2054,2089,,
(2010 VN1),2046-2066,7,2e-06,10.99,28.3,0.007,-7.12,-7.35,0.0,2046,2066,,
(2025 OF),2065-2065,1,3.3e-07,15.58,26.7,0.015,-7.12,-7.12,0.0,2065,2065,,
(2012 SU9),2100-2119,4,1.5e-06,10.86,27.2,0.012,-7.13,-7.37,0.0,2100,2119,,
(2008 UA92),2078-2078,1,1.3e-06,8.38,27.3,0.012,-7.13,-7.13,0.0,2078,2078,,
(2011 SE58),2042-2055,3,5.9e-07,15.69,27.6,0.01,-7.13,-7.28,0.0,2042,2055,,
(2009 SH2),2119-2119,1,2.1e-07,4.21,24.9,0.035,-7.13,-7.13,0.0,2119,2119,,
(2021 TX2),2115-2118,2,1.8e-07,11.32,25.2,0.031,-7.13,-7.17,0.0,2115,2118,,
(2022 FZ3),2047-2054,4,3e-06,8.26,28.8,0.006,-7.14,-7.24,0.0,2047,2054,,
(2006 YE),2089-2095,2,1.9e-06,6.03,27.3,0.012,-7.14,-7.3,0.0,2089,2095,,
(2019 WV1),2078-2121,17,5.5e-06,8.74,28.2,0.008,-7.15,-7.47,0.0,2078,2121,,
(2022 WR27),2100-2100,1,9.7e-06,9.78,28.9,0.006,-7.15,-7.15,0.0,2100,2100,,
(2023 OD1),2124-2124,1,1.5e-07,8.12,24.8,0.037,-7.15,-7.15,0.0,2124,2124,,
(2024 PJ3),2082-2097,4,2.4e-06,16.14,28.3,0.008,-7.16,-7.38,0.0,2082,2097,,
(2021 CD8),2099-2122,15,1.1e-05,2.17,28.5,0.007,-7.16,-7.6,0.0,2099,2122,,
(2023 ES),2083-2120,3,5.3e-07,7.95,26.4,0.018,-7.16,-7.26,0.0,2083,2120,,
(2024 GY5),2097-2118,3,2.1e-06,15.69,27.9,0.009,-7.16,-7.25,0.0,2097,2118,,
(2025 KF2),2066-2124,25,0.00012,7.89,31.4,0.002,-7.16,-7.52,0.0,2066,2124,,
(2023 SD3),2055-2091,3,4.9e-07,4.15,26.8,0.015,-7.16,-7.16,0.0,2055,2091,,
(2019 FB1),2110-2117,3,3.3e-06,7.97,27.7,0.01,-7.17,-7.35,0.0,2110,2117,,
(2016 EG28),2086-2122,6,1.8e-06,14.66,27.8,0.009,-7.17,-7.43,0.0,2086,2122,,
(2020 XF4),2108-2119,7,3e-06,6.69,27.6,0.01,-7.17,-7.39,0.0,2108,2119,,
(2021 HC2),2083-2122,21,1.2e-05,5.28,28.8,0.006,-7.17,-7.85,0.0,2083,2122,,
(2023 EG1),2068-2116,14,2.2e-06,6.91,27.4,0.011,-7.17,-7.61,0.0,2068,2116,,
(2023 GE),2122-2122,7,2.3e-06,10.82,27.5,0.011,-7.17,-7.44,0.0,2122,2122,,
(2018 FK5),2087-2110,2,3.8e-06,11.28,28.3,0.008,-7.18,-7.46,0.0,2087,2110,,
(2018 DB),2068-2119,8,1.5e-06,16.1,27.6,0.01,-7.18,-7.29,0.0,2068,2119,,
(2019 GS19),2069-2102,3,1.6e-07,13.9,25.6,0.025,-7.18,-7.33,0.0,2069,2102,,
(2021 UL7),2117-2121,2,5.4e-07,2.45,25.8,0.024,-7.18,-7.25,0.0,2117,2121,,
(2024 CY1),2060-2124,22,8.3e-06,14.3,29.2,0.005,-7.18,-7.62,0.0,2060,2124,,
(2024 JH3),2059-2072,8,4.2e-06,9.27,28.8,0.006,-7.18,-7.56,0.0,2059,2072,,
(2024 UL1),2117-2122,3,1.3e-06,10.5,27.0,0.014,-7.18,-7.35,0.0,2117,2122,,
(2021 PA15),2114-2114,1,5.2e-07,8.95,26.2,0.02,-7.19,-7.19,0.0,2114,2114,,
(2001 UF5),2058-2058,1,1.6e-09,18.26,22.4,0.11,-7.19,-7.19,0.0,2058,2058,,
(2014 HJ197),2045-2122,82,2.4e-05,4.5,30.3,0.003,-7.19,-7.7,0.0,2045,2122,,
(2022 KC3),2101-2118,6,1.1e-06,4.82,26.6,0.016,-7.19,-7.61,0.0,2101,2118,,
(2023 ST2),2078-2078,1,1.3e-07,21.02,26.1,0.02,-7.19,-7.19,0.0,2078,2078,,
(2017 FC1),2064-2064,1,2.3e-07,8.28,26.1,0.02,-7.2,-7.2,0.0,2064,2064,,
(2011 AK37),2097-2097,1,1.1e-07,11.87,25.1,0.032,-7.2,-7.2,0.0,2097,2097,,
(2018 RR1),2086-2122,24,3.7e-05,4.41,29.9,0.004,-7.2,-7.29,0.0,2086,2122,,
(2021 TH13),2096-2116,5,4.4e-06,8.65,28.1,0.008,-7.2,-7.36,0.0,2096,2116,,
(2023 WT2),2033-2117,27,1.2e-06,13.6,27.7,0.01,-7.2,-7.84,0.0,2033,2117,,
(2021 UG2),2075-2119,12,2.2e-06,13.04,27.9,0.009,-7.2,-7.73,0.0,2075,2119,,
(2015 YV1),2084-2108,2,9.7e-09,17.65,23.4,0.072,-7.21,-7.45,0.0,2084,2108,,
(2018 FY2),2093-2093,1,1.1e-07,19.77,25.7,0.024,-7.21,-7.21,0.0,2093,2093,,
(2002 XV90),2102-2113,2,1.3e-07,7.63,24.9,0.035,-7.21,-7.22,0.0,2102,2113,,
(2017 BK30),2085-2085,3,9.8e-07,9.95,27.2,0.012,-7.21,-7.49,0.0,2085,2085,,
(2016 WN7),2095-2118,4,3.3e-06,6.16,27.9,0.009,-7.21,-7.26,0.0,2095,2118,,
